block,time_s,raw_az_N,raw_az_S,raw_az_E,raw_az_W,raw_el_N,raw_el_S,raw_el_E,raw_el_W,smooth_az_N,smooth_az_S,smooth_az_E,smooth_az_W,smooth_el_N,smooth_el_S,smooth_el_E,smooth_el_W,centroid_x_m,centroid_y_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m,mean_dist_m
48,61.800,-109.0,-143.0,-149.0,-122.0,14.0,17.0,18.0,13.0,-109.5,-141.4,-117.8,-122.0,14.1,15.6,17.1,12.6,-511.802,-685.158,736.795,686.504,747.905,686.592,714.449
49,61.900,-110.0,-143.0,-110.0,-123.0,14.0,17.0,26.0,12.0,-109.9,-141.4,-114.2,-122.2,13.9,15.8,18.2,12.6,-502.590,-669.849,722.627,672.520,733.776,672.495,700.354
50,62.000,-110.0,-143.0,-151.0,-122.0,14.0,17.0,17.0,13.0,-109.9,-141.5,-114.5,-122.0,13.9,15.9,18.5,12.7,-497.934,-667.023,718.595,668.434,729.687,668.510,696.306
51,62.100,-110.0,-140.0,-149.0,-122.0,14.0,16.0,17.0,13.0,-109.9,-141.4,-112.3,-121.9,13.9,16.0,19.2,12.8,-492.718,-654.869,708.375,658.430,719.544,658.329,686.170
52,62.200,-110.0,-140.0,-148.0,-123.0,14.0,16.0,18.0,12.0,-109.9,-141.3,-112.4,-122.1,13.9,16.1,19.7,12.7,-487.426,-653.478,704.954,654.891,716.027,654.966,682.710
53,62.300,-110.0,-141.0,-151.0,-123.0,14.0,15.0,17.0,12.0,-109.9,-141.3,-112.7,-122.1,13.9,16.1,19.8,12.7,-486.141,-653.971,704.654,654.536,715.690,654.681,682.390
54,62.400,-110.0,-143.0,-148.0,-123.0,14.0,16.0,16.0,12.0,-109.9,-141.6,-112.5,-122.3,13.9,16.1,19.9,12.6,-484.614,-655.029,704.600,654.402,715.585,654.646,682.308
55,62.500,-108.0,-142.0,-150.0,-123.0,15.0,16.0,16.0,12.0,-109.8,-141.6,-114.1,-122.5,14.1,16.1,17.5,12.5,-506.730,-668.429,723.724,673.785,734.985,673.546,701.510
56,62.600,-110.0,-143.0,-149.0,-123.0,14.0,17.0,18.0,12.0,-109.9,-141.8,-145.3,-122.6,14.2,16.3,18.0,12.4,-432.239,-747.183,742.828,688.732,751.238,693.921,719.180
57,62.700,-110.0,-143.0,-147.0,-123.0,14.0,17.0,20.0,13.0,-109.7,-142.1,-145.2,-122.7,14.1,16.4,18.3,12.4,-430.160,-744.908,740.424,686.323,748.815,691.542,716.776
58,62.800,-110.0,-143.0,-150.0,-123.0,14.0,17.0,20.0,13.0,-109.8,-142.1,-145.3,-122.8,14.1,16.4,18.5,12.4,-427.836,-743.566,738.566,684.434,746.919,689.718,714.909
59,62.900,-68.0,-143.0,-149.0,-124.0,21.0,17.0,20.0,13.0,-105.6,-142.1,-149.2,-122.9,14.8,16.4,17.9,12.5,-429.018,-737.254,734.694,680.732,743.162,685.799,711.097
60,63.000,-110.0,-143.0,-149.0,-124.0,14.0,17.0,19.0,13.0,-105.6,-142.1,-149.0,-123.1,14.8,16.4,18.1,12.5,-427.687,-735.153,732.712,678.762,741.177,683.831,709.120
61,63.100,-110.0,-142.0,-149.0,-124.0,14.0,16.0,18.0,13.0,-105.6,-142.3,-149.0,-123.3,14.8,16.4,18.2,12.5,-425.857,-734.825,731.749,677.757,740.174,682.898,708.144
62,63.200,-110.0,-143.0,-151.0,-125.0,14.0,17.0,17.0,12.0,-105.6,-142.6,-149.3,-123.5,14.8,16.5,18.1,12.5,-423.558,-736.252,731.808,677.725,740.158,683.003,708.174
63,63.300,-112.0,-143.0,-149.0,-125.0,15.0,17.0,18.0,12.0,-105.8,-142.8,-149.1,-123.7,14.9,16.7,18.2,12.5,-419.643,-732.601,727.726,673.621,736.031,678.974,704.088
64,63.400,-110.0,-143.0,-151.0,-125.0,14.0,17.0,17.0,12.0,-105.8,-142.8,-149.4,-123.9,14.9,16.8,18.3,12.5,-416.965,-731.488,725.892,671.741,734.146,677.183,702.240
65,63.500,-112.0,-143.0,-148.0,-125.0,15.0,17.0,18.0,13.0,-106.2,-142.9,-149.2,-124.1,14.9,16.9,18.5,12.6,-412.858,-728.351,722.097,667.908,730.293,673.448,698.437
66,63.600,-113.0,-143.0,-149.0,-125.0,16.0,17.0,18.0,12.0,-106.5,-142.9,-149.2,-124.3,15.1,16.9,18.5,12.6,-409.631,-726.590,719.606,665.371,727.746,671.008,695.932
67,63.700,-111.0,-143.0,-151.0,-125.0,17.0,17.0,17.0,12.0,-106.6,-142.9,-149.6,-124.5,15.4,16.9,18.2,12.5,-407.705,-728.064,719.870,665.552,727.942,671.314,696.169
68,63.800,-111.0,-143.0,-149.0,-127.0,17.0,17.0,18.0,12.0,-106.7,-142.9,-149.5,-124.9,15.7,16.9,18.0,12.4,-406.092,-728.195,719.330,664.968,727.360,670.805,695.616
69,63.900,-111.0,-143.0,-149.0,-125.0,17.0,17.0,18.0,13.0,-111.0,-142.9,-149.5,-125.0,15.3,16.9,17.8,12.4,-395.519,-743.418,725.896,670.941,733.457,677.641,701.984
