block,time_s,raw_az_L,raw_el_L,raw_az_R,raw_el_R,smooth_az_L,smooth_el_L,smooth_az_R,smooth_el_R,mid_easting_m,mid_northing_m,dist_L_m,dist_R_m
114,3448.000,56.0,60.0,64.0,68.0,37.5,74.3,10.9,77.4,287389.624,6229012.981,721.854,719.784
115,3448.100,64.0,60.0,56.0,64.0,39.2,74.0,13.3,77.1,287396.828,6229013.712,722.865,720.650
116,3448.200,56.0,60.0,56.0,64.0,40.7,73.7,15.5,76.9,287403.706,6229014.360,723.886,721.532
117,3448.300,64.0,60.0,52.0,68.0,42.2,73.3,17.4,76.7,287410.207,6229014.557,724.820,722.337
118,3448.400,56.0,60.0,60.0,64.0,43.2,73.0,19.4,76.5,287416.423,6229015.847,726.006,723.397
119,3448.500,56.0,60.0,56.0,64.0,44.2,72.6,21.4,76.2,287422.690,6229016.963,727.216,724.481
120,3448.600,56.0,60.0,60.0,64.0,45.1,72.3,23.4,75.9,287429.160,6229017.840,728.460,725.597
121,3448.700,64.0,60.0,60.0,64.0,46.1,71.9,25.4,75.6,287435.667,6229018.581,729.737,726.745
122,3448.800,56.0,60.0,56.0,64.0,46.7,71.6,27.6,75.3,287442.211,6229019.360,731.086,727.966
123,3448.900,56.0,60.0,56.0,64.0,47.5,71.3,29.7,75.0,287449.118,6229020.068,732.545,729.291
124,3449.000,56.0,60.0,60.0,64.0,48.1,70.9,31.7,74.7,287455.540,6229020.584,733.927,730.548
125,3449.100,60.0,60.0,60.0,64.0,49.0,70.6,33.4,74.4,287461.882,6229020.847,735.290,731.790
126,3449.200,56.0,60.0,56.0,60.0,49.6,70.2,34.7,74.1,287467.789,6229021.898,736.786,733.171
127,3449.300,60.0,56.0,60.0,64.0,50.5,69.8,35.8,73.8,287473.702,6229022.715,738.276,734.549
128,3449.400,56.0,60.0,56.0,60.0,51.1,69.5,37.1,73.4,287479.783,6229023.484,739.840,735.997
129,3449.500,60.0,56.0,56.0,60.0,51.7,69.1,38.5,73.1,287485.867,6229024.206,741.441,737.484
130,3449.600,60.0,56.0,56.0,60.0,52.0,68.8,39.9,72.7,287491.699,6229025.208,743.090,739.023
131,3449.700,60.0,56.0,56.0,60.0,52.3,68.5,41.3,72.4,287497.603,6229026.079,744.771,740.594
132,3449.800,60.0,56.0,64.0,64.0,52.7,68.1,42.7,72.1,287503.743,6229026.663,746.493,742.203
133,3449.900,60.0,56.0,56.0,60.0,53.0,67.8,44.1,71.7,287510.052,6229027.537,748.374,743.967
134,3450.000,60.0,56.0,56.0,60.0,53.6,67.4,44.9,71.3,287515.677,6229028.360,750.102,745.593
135,3450.100,60.0,56.0,56.0,60.0,53.9,67.1,46.3,70.9,287522.137,6229028.969,752.058,747.432
136,3450.200,60.0,56.0,56.0,60.0,54.3,66.7,47.1,70.6,287527.547,6229030.067,753.870,749.146
