X,Y,Z
5.971233049407601357e+00,7.960990740309995317e+00,-4.745971839874982834e+00
5.970575755462050438e+00,7.960990740309995317e+00,-4.743565442040562630e+00
5.970211597159504890e+00,7.960990740309995317e+00,-4.742273893207311630e+00
5.971041032113134861e+00,7.960990740309995317e+00,-4.740041896700859070e+00
5.971891892142593861e+00,7.960990740309995317e+00,-4.733726009726524353e+00
5.972779160365462303e+00,7.960990740309995317e+00,-4.731839485466480255e+00
5.969888682477176189e+00,7.960990740309995317e+00,-4.729326311498880386e+00
5.967537183314561844e+00,7.960990740309995317e+00,-4.727398118004202843e+00
5.958811827935278416e+00,7.960990740309995317e+00,-4.724303958937525749e+00
5.940555592998862267e+00,7.960990740309995317e+00,-4.718163635581731796e+00
5.899312850087881088e+00,7.960990740309995317e+00,-4.706207156181335449e+00
5.838648332282900810e+00,7.960990740309995317e+00,-4.685501141473650932e+00
5.746657577343285084e+00,7.960990740309995317e+00,-4.656202167272567749e+00
5.617949269711971283e+00,7.960990740309995317e+00,-4.611812639981508255e+00
5.470098749734461308e+00,7.960990740309995317e+00,-4.582448771223425865e+00
5.340743415057659149e+00,7.960990740309995317e+00,-4.538001755252480507e+00
5.215328834950923920e+00,7.960990740309995317e+00,-4.489456497132778168e+00
5.111329553648829460e+00,7.960990740309995317e+00,-4.439713936299085617e+00
5.028626856394112110e+00,7.960990740309995317e+00,-4.422470290213823318e+00
4.964897872880101204e+00,7.960990740309995317e+00,-4.394333170726895332e+00
4.906851033680140972e+00,7.960990740309995317e+00,-4.406871218234300613e+00
4.872780680656433105e+00,7.960990740309995317e+00,-4.395479124039411545e+00
4.854585405439138412e+00,7.960990740309995317e+00,-4.407773829996585846e+00
4.852799842134118080e+00,7.960990740309995317e+00,-4.412845810875296593e+00
4.871265820227563381e+00,7.960990740309995317e+00,-4.431064628064632416e+00
4.888679299503564835e+00,7.960990740309995317e+00,-4.446195608004927635e+00
4.912879987619817257e+00,7.960990740309995317e+00,-4.453298561275005341e+00
4.931002392433583736e+00,7.960990740309995317e+00,-4.466099020093679428e+00
4.952598595991730690e+00,7.960990740309995317e+00,-4.465638903900980949e+00
4.971032407134771347e+00,7.960990740309995317e+00,-4.478389244526624680e+00
5.001701020635664463e+00,7.960990740309995317e+00,-4.480566468089818954e+00
5.034031647257506847e+00,7.960990740309995317e+00,-4.493068011477589607e+00
5.071588612161576748e+00,7.960990740309995317e+00,-4.501726061105728149e+00
5.107677880674600601e+00,7.960990740309995317e+00,-4.513111218810081482e+00
5.144438984803855419e+00,7.960990740309995317e+00,-4.522013450041413307e+00
