X,Y,Z
-5.195844853762537241e+00,2.701416127383708954e-01,1.617202051750467717e+00
-5.194004720426164567e+00,2.676481064409017563e-01,1.617202051750467717e+00
-5.189839687081985176e+00,2.659684279933571815e-01,1.617202051750467717e+00
-5.182652642193716019e+00,2.660857094451785088e-01,1.617202051750467717e+00
-5.182477936381474137e+00,2.593419915065169334e-01,1.617202051750467717e+00
-5.191124049131758511e+00,2.609660504385828972e-01,1.617202051750467717e+00
-5.193025439977645874e+00,2.606995953246951103e-01,1.617202051750467717e+00
-5.194837660412304103e+00,2.706850981339812279e-01,1.617202051750467717e+00
-5.195475630753207952e+00,2.728935601189732552e-01,1.617202051750467717e+00
-5.194160976505372673e+00,2.773546166718006134e-01,1.617202051750467717e+00
-5.195096496259793639e+00,2.809327561408281326e-01,1.617202051750467717e+00
-5.194686663628090173e+00,2.901691598817706108e-01,1.617202051750467717e+00
-5.196210167137905955e+00,2.943964032456278801e-01,1.617202051750467717e+00
-5.199122335645370185e+00,3.041129475459456444e-01,1.617202051750467717e+00
-5.201862343470565975e+00,3.075574627146124840e-01,1.617202051750467717e+00
-5.205036282888613641e+00,3.155490402132272720e-01,1.617202051750467717e+00
-5.205697428609710187e+00,3.199843829497694969e-01,1.617202051750467717e+00
-5.207290752150584012e+00,3.272780161350965500e-01,1.617202051750467717e+00
-5.209854231216013432e+00,3.314475174993276596e-01,1.617202051750467717e+00
-5.214057601056993008e+00,3.345436928793787956e-01,1.617202051750467717e+00
-5.216444024234078825e+00,3.377293022349476814e-01,1.617202051750467717e+00
-5.217519042780622840e+00,3.431878546252846718e-01,1.617202051750467717e+00
-5.218319149513263255e+00,3.456649286672472954e-01,1.617202051750467717e+00
-5.218336635036394000e+00,3.466201992705464363e-01,1.617202051750467717e+00
-5.217392045247834176e+00,3.481774227693676949e-01,1.617202051750467717e+00
-5.213827081373892725e+00,3.513352638110518456e-01,1.617202051750467717e+00
-5.212600422441028059e+00,3.542702263221144676e-01,1.617202051750467717e+00
-5.213425110210664570e+00,3.591399574652314186e-01,1.617202051750467717e+00
-5.212635382777079940e+00,3.621532237157225609e-01,1.617202051750467717e+00
-5.213282447308301926e+00,3.633167417719960213e-01,1.617202051750467717e+00
-5.214530372875742614e+00,3.670805012807250023e-01,1.617202051750467717e+00
-5.217313189525157213e+00,3.708168705925345421e-01,1.617202051750467717e+00
-5.218823135364800692e+00,3.726766230538487434e-01,1.617202051750467717e+00
-5.219844372011721134e+00,3.748234333470463753e-01,1.617202051750467717e+00
-5.219989208912011236e+00,3.787424303591251373e-01,1.617202051750467717e+00
-5.220719017321243882e+00,3.842609273269772530e-01,1.617202051750467717e+00
-5.219970914069563150e+00,3.867709981277585030e-01,1.617202051750467717e+00
-5.218956308264750987e+00,3.879070607945322990e-01,1.617202051750467717e+00
-5.219080375973135233e+00,3.893704460933804512e-01,1.617202051750467717e+00
-5.220047179842367768e+00,3.891072664409875870e-01,1.617202051750467717e+00
-5.221004660008475184e+00,3.902427162975072861e-01,1.617202051750467717e+00
-5.224261059716809541e+00,3.918962413445115089e-01,1.617202051750467717e+00
-5.228076925210189074e+00,3.936624350026249886e-01,1.617202051750467717e+00
-5.233334071468561888e+00,3.962094327434897423e-01,1.617202051750467717e+00
-5.237387594650499523e+00,3.978499872609972954e-01,1.617202051750467717e+00
-5.239082461630459875e+00,3.997618705034255981e-01,1.617202051750467717e+00
-5.241786387399770319e+00,4.021552437916398048e-01,1.617202051750467717e+00
-5.244007696514017880e+00,4.026546198874711990e-01,1.617202051750467717e+00
-5.245883557014167309e+00,4.050486562773585320e-01,1.617202051750467717e+00
-5.248729547136463225e+00,4.035556530579924583e-01,1.617202051750467717e+00
-5.254247115051839501e+00,4.063987275585532188e-01,1.617202051750467717e+00
-5.257292234222404659e+00,4.106439640745520592e-01,1.617202051750467717e+00
-5.257938171387650073e+00,4.140290925279259682e-01,1.617202051750467717e+00
-5.254150255525019020e+00,4.153851224109530449e-01,1.617202051750467717e+00
-5.254383708117529750e+00,4.174508135765790939e-01,1.617202051750467717e+00
-5.259170570061542094e+00,4.182732040062546730e-01,1.617202051750467717e+00
-5.261176964966580272e+00,4.203561367467045784e-01,1.617202051750467717e+00
-5.269852137309499085e+00,4.228460676968097687e-01,1.617202051750467717e+00
-5.272491375973913819e+00,4.243634073063731194e-01,1.617202051750467717e+00
-5.276524555403739214e+00,4.268907317891716957e-01,1.617202051750467717e+00
-5.279251398053020239e+00,4.280111016705632210e-01,1.617202051750467717e+00
-5.282188159704674035e+00,4.261219138279557228e-01,1.617202051750467717e+00
-5.283651295816525817e+00,4.258648212999105453e-01,1.617202051750467717e+00
-5.286590069648809731e+00,4.245627885684370995e-01,1.617202051750467717e+00
-5.287824115715920925e+00,4.232309367507696152e-01,1.617202051750467717e+00
-5.288576425053179264e+00,4.213107591494917870e-01,1.617202051750467717e+00
-5.287670676014386117e+00,4.108970994129776955e-01,1.617202051750467717e+00
-5.291040546901058406e+00,4.094492038711905479e-01,1.617202051750467717e+00
-5.295072528999298811e+00,4.075491530820727348e-01,1.717202054950462298e+00
-5.298583605501335114e+00,4.058793634176254272e-01,1.817202058150471089e+00
-5.302210290567018092e+00,4.036696525290608406e-01,2.017202064550467355e+00
-5.304332827683538198e+00,3.972149109467864037e-01,2.317202074150472413e+00
-5.303675888630095869e+00,3.933950159698724747e-01,2.517202080550468679e+00
-5.295368754887022078e+00,3.909944938495755196e-01,2.917202093350468317e+00
-5.288665043073706329e+00,3.807665938511490822e-01,3.317202106150467955e+00
-5.277278367546387017e+00,3.762101540341973305e-01,3.617202115750465907e+00
-5.270593472174368799e+00,3.728400543332099915e-01,4.017202128550472651e+00
-5.262560718110762537e+00,3.757841950282454491e-01,4.317202138150470603e+00
-5.256780339870601892e+00,3.706266777589917183e-01,4.617202147750468555e+00
-5.253501716302707791e+00,3.675517784431576729e-01,4.917202157350473612e+00
-5.248816514154896140e+00,3.657298525795340538e-01,5.017202160550468193e+00
-5.250783128663897514e+00,3.683916898444294930e-01,5.217202166950471565e+00
-5.251116089057177305e+00,3.672640481963753700e-01,5.217202166950471565e+00
-5.253086480370257050e+00,3.666780712082982063e-01,5.317202170150466145e+00
-5.258167811552993953e+00,3.662488888949155807e-01,5.317202170150466145e+00
-5.268164477660320699e+00,3.631762582808732986e-01,5.317202170150466145e+00
-5.275513617729302496e+00,3.619289165362715721e-01,5.317202170150466145e+00
-5.280395556474104524e+00,3.613371280953288078e-01,5.317202170150466145e+00
-5.285900392220355570e+00,3.603137154132127762e-01,5.317202170150466145e+00
-5.288606926333159208e+00,3.637829087674617767e-01,5.217202166950471565e+00
-5.292695865849964321e+00,3.625836661085486412e-01,5.217202166950471565e+00
-5.295479102875106037e+00,3.663054127246141434e-01,5.217202166950471565e+00
-5.300143566797487438e+00,3.652243129909038544e-01,5.217202166950471565e+00
-5.304279076750390232e+00,3.643955653533339500e-01,5.217202166950471565e+00
-5.308228987618349493e+00,3.640551241114735603e-01,5.217202166950471565e+00
-5.312023904465604573e+00,3.653894541785120964e-01,5.217202166950471565e+00
-5.305543921072967350e+00,3.780502723529934883e-01,5.217202166950471565e+00
-5.306945915159303695e+00,3.807195452973246574e-01,5.217202166950471565e+00
-5.306504511041566730e+00,3.838911047205328941e-01,5.217202166950471565e+00
-5.305308410373982042e+00,3.863422982394695282e-01,5.217202166950471565e+00
-5.303490285295993090e+00,3.883717264980077744e-01,5.217202166950471565e+00
-5.301435376750305295e+00,3.921836633235216141e-01,5.217202166950471565e+00
-5.299649142893031240e+00,3.950093742460012436e-01,5.217202166950471565e+00
-5.301181977323722094e+00,3.982575237751007080e-01,5.217202166950471565e+00
-5.300253784225787967e+00,4.003646252676844597e-01,5.217202166950471565e+00
-5.293723083217628300e+00,3.980477107688784599e-01,5.217202166950471565e+00
-5.290361747727729380e+00,3.959739832207560539e-01,5.217202166950471565e+00
-5.286002309876494110e+00,3.885644143447279930e-01,5.217202166950471565e+00
-5.284372270805761218e+00,3.855370944365859032e-01,5.217202166950471565e+00
-5.291320962132886052e+00,3.868556162342429161e-01,5.217202166950471565e+00
-5.292531699058599770e+00,3.855808991938829422e-01,5.317202170150466145e+00
-5.297223881934769452e+00,3.585299616679549217e-01,5.317202170150466145e+00
-5.297993544489145279e+00,3.586809160187840462e-01,5.317202170150466145e+00
-5.295144203118979931e+00,3.584251319989562035e-01,5.317202170150466145e+00
-5.292650204384699464e+00,3.572132261469960213e-01,5.317202170150466145e+00
-5.291929895814973861e+00,3.531615789979696274e-01,5.317202170150466145e+00
-5.291758017789106816e+00,3.492773612961173058e-01,5.317202170150466145e+00
-5.292194379842840135e+00,3.437038622796535492e-01,5.317202170150466145e+00
-5.291448944422882050e+00,3.412347575649619102e-01,5.317202170150466145e+00
-5.294063716544769704e+00,3.409275626763701439e-01,5.317202170150466145e+00
-5.295436466461978853e+00,3.374605784192681313e-01,5.317202170150466145e+00
-5.297796867496799678e+00,3.334000157192349434e-01,5.317202170150466145e+00
-5.300210482208058238e+00,3.313551200553774834e-01,5.317202170150466145e+00
-5.304472520714625716e+00,3.308829907327890396e-01,5.317202170150466145e+00
-5.305856748425867409e+00,3.321140119805932045e-01,5.317202170150466145e+00
-5.303350839938502759e+00,3.318990217521786690e-01,5.317202170150466145e+00
-5.302593476953916252e+00,3.315775403752923012e-01,5.317202170150466145e+00
-5.299712162290234119e+00,3.299756357446312904e-01,5.317202170150466145e+00
-5.298090272117406130e+00,3.301398241892457008e-01,5.317202170150466145e+00
-5.300673811638262123e+00,3.331768466159701347e-01,5.317202170150466145e+00
