Audio_Time,CSV_Time,Estimated_Azimuth,Estimated_Elevation,CSV_Azimuth,CSV_Elevation,Azimuth_Diff,Elevation_Diff,Distance_Meters
765.7,765700,-60,16,-177.07005079654965,18.250462804952097,117.07005079654965,2.2504628049520967,18.986292357708052
765.8,765800,-60,16,-175.7053662907806,18.651982176868614,115.7053662907806,2.6519821768686143,18.668426158749895
765.9,765900,-60,16,-174.29430320138664,19.044107574663457,114.29430320138664,3.0441075746634567,18.36896082975185
766.0,766000,-52,16,-173.01472730825014,19.364951878190578,121.01472730825014,3.3649518781905776,18.131609688155798
766.1,766100,-52,16,-171.52077730889886,19.73313475146581,119.52077730889886,3.7331347514658084,17.867367199360732
766.2,766200,-52,16,-170.15758240085398,20.056041241176047,118.15758240085398,4.056041241176047,17.642470466823962
766.3,766300,-52,16,-168.7725647578315,20.405946200367946,116.7725647578315,4.405946200367946,17.405691255521997
766.4,766400,-52,16,-167.4504555806787,20.748170911211435,115.45045558067869,4.748170911211435,17.180789204985295
766.5,766500,-52,16,-166.20413236777756,21.032213039794573,114.20413236777756,5.0322130397945735,16.99894571448237
766.6,766600,-52,16,-165.08425823893265,21.28941548120067,113.08425823893265,5.28941548120067,16.837927841647037
766.7,766700,-52,16,-164.15628015061117,21.494419333092534,112.15628015061117,5.494419333092534,16.711995606146072
766.8,766800,-52,16,-163.580786498213,21.611016019317713,111.580786498213,5.611016019317713,16.641302524877382
766.9,766900,-52,16,-162.9761728166048,21.738186088284646,110.97617281660479,5.738186088284646,16.564955373824866
767.0,767000,-52,16,-162.6981598647688,21.779596600762982,110.6981598647688,5.779596600762982,16.54026289231226
767.1,767100,-52,16,-162.34059046238946,21.850483565766424,110.34059046238946,5.8504835657664245,16.49818442413394
767.2,767200,-52,16,-162.107016747135,21.899686862611482,110.10701674713499,5.899686862611482,16.46911781779913
767.3,767300,-52,16,-161.9215106770191,21.935252653438084,109.92151067701911,5.935252653438084,16.44817873479822
767.4,767400,-52,16,-161.70020385852956,21.97293528675644,109.70020385852956,5.972935286756439,16.42605828793514
767.5,767500,-52,16,-161.5675754880885,22.00012591947833,109.5675754880885,6.000125919478329,16.4101381748801
767.6,767600,-52,16,-161.50830173840865,22.010971441736533,109.50830173840865,6.010971441736533,16.40379775858425
767.7,767700,-52,16,-161.41651260314694,22.027376808931074,109.41651260314694,6.0273768089310735,16.39421741450881
767.8,767800,-52,16,-161.4528584491042,22.032424665903836,109.45285844910421,6.032424665903836,16.39127210738064
767.9,767900,-52,16,-161.4022037285145,22.04215803690141,109.40220372851451,6.042158036901409,16.3855962573753
768.0,768000,-52,16,-161.42782942684477,22.030601736190246,109.42782942684477,6.0306017361902455,16.392335607700574
768.1,768100,-52,16,-161.4216730625854,22.03290881174688,109.4216730625854,6.0329088117468785,16.390989681845536
768.2,768200,-52,16,-161.47960866522425,22.04309326548519,109.47960866522425,6.04309326548519,16.385051126587545
768.3,768300,-52,16,-161.49575030376513,22.04277736499068,109.49575030376513,6.04277736499068,16.3852352557275
768.4,768400,-52,16,-161.5363181652225,22.036862364714924,109.5363181652225,6.036862364714924,16.38868379239643
768.5,768500,-52,16,-161.56932521004796,22.033089830393266,109.56932521004796,6.033089830393266,16.39088408777085
768.6,768600,-52,16,-161.61424642568903,22.025689982246465,109.61424642568903,6.025689982246465,16.39520190297911
768.7,768700,-52,16,-161.64316553892797,22.020689818992626,109.64316553892797,6.020689818992626,16.39812094384407
768.8,768800,-52,16,-161.68071078916262,22.016333493220078,109.68071078916262,6.016333493220078,16.40066506864546
768.9,768900,-52,16,-161.70527428832764,22.013958380484077,109.70527428832764,6.013958380484077,16.402052523645203
769.0,769000,-52,16,-161.70953406700062,22.016513795198332,109.70953406700062,6.016513795198332,16.400559753484426
769.1,769100,-52,16,-161.7267361554728,22.01597250804235,109.72673615547279,6.015972508042349,16.400875926193436
769.2,769200,-52,16,-161.74932521043343,22.03024633280732,109.74932521043343,6.0302463328073195,16.392542968652283
